Word,JLPT_Level,JLPT_Jisho_Level,JLPT_Additional_Difficulty
日,N4,N3,[]
や,N5,N1,[]
この,N3,N5,"['N1', 'N3']"
的,N3,N1,[]
その,N3,N5,['N3']
中,N5,N3,[]
放送,N4,N3,[]
後,N5,N3,[]
案内,N4,N3,[]
前,N5,N1,[]
できる,N3,N5,['N3']
方,N5,N3,[]
それ,N3,N5,"['N1', 'N3']"
他,N3,N5,['N3']
金,N3,N1,[]
等,N3,N5,['N3']
内,N3,N4,['N3']
ここ,N3,N1,[]
歳,N1,N5,[]
および,N2,N1,[]
都,N4,N3,[]
でも,N3,N5,['N3']
どう,N3,N2,['N1']
そう,N3,N1,[]
側,N3,N1,[]
川,N3,N5,['N3']
計画,N4,N3,[]
曖昧,N1,N2,['N1']
良い,N1,N5,"['N1', 'N3']"
運動,N4,N3,[]
街,N3,N5,['N3']
米,N4,N5,[]
船,N3,N4,['N3']
運転,N4,N3,[]
九,N5,N3,[]
始め,N1,N5,['N1']
見る,N3,N5,[]
そこ,N3,N5,['N1']
実,N3,N1,[]
経験,N4,N3,[]
彼ら,N4,N3,[]
角,N5,N1,[]
いえ,N3,N5,[]
超える,N2,N3,['N2']
一番,N3,N5,['N3']
箇所,N1,N2,['N1']
務める,N2,N5,['N2']
河,N3,N5,['N3']
少なくとも,N1,N2,['N1']
身体,N3,N5,"['N1', 'N3']"
準備,N4,N3,[]
対立,N1,N2,['N1']
付属,N1,N2,['N1']
佐,N1,N3,[]
相談,N4,N3,[]
大変,N3,N5,[]
保障,N1,N3,['N1']
答え,N1,N4,['N1']
児,N1,N4,['N1']
又は,N2,N4,['N2']
いつも,N3,N5,"['N1', 'N3']"
では,N3,N5,['N3']
堀,N2,N3,['N2']
すぎる,N5,N4,[]
組み合わせ,N1,N2,['N1']
どれ,N3,N5,"['N1', 'N3']"
まい,N3,N1,[]
輸入,N4,N3,[]
起こす,N1,N4,['N1']
縦,N3,N5,['N3']
出発,N4,N3,[]
付ける,N3,N5,"['N2', 'N3']"
心配,N4,N3,[]
輸出,N4,N3,[]
皆,N4,N5,"['N3', 'N4']"
鍵,N3,N5,['N3']
終わる,N1,N5,['N1']
ふり,N3,N1,[]
食事,N4,N3,[]
わざわざ,N3,N1,[]
出席,N4,N3,[]
招待,N4,N3,[]
余り,N3,N5,"['N1', 'N3']"
終,N3,N4,[]
ローマ字,N1,N2,['N1']
問,N1,N3,[]
挙げる,N2,N5,"['N2', 'N4']"
色々,N1,N5,['N1']
回り,N3,N4,[]
あえて,N2,N1,[]
本当,N3,N5,['N3']
釣り,N1,N3,['N1']
玩具,N1,N4,['N1']
度々,N1,N3,['N1']
喧嘩,N3,N4,['N3']
殆ど,N1,N4,['N1']
載せる,N2,N3,['N2']
だから,N3,N4,['N3']
依,N1,N3,[]
又,N3,N5,['N3']
この間,N1,N4,['N1']
開く,N5,N4,[]
宜しく,N1,N3,['N1']
従って,N1,N3,['N1']
悪戯,N1,N3,['N1']
上がる,N1,N4,['N1']
何故,N1,N5,['N1']
明るい,N1,N5,['N1']
楽しむ,N1,N4,['N1']
如何,N1,N5,['N1']
幾つ,N3,N5,['N3']
承知,N4,N3,[]
世話,N4,N3,[]
話し合い,N1,N2,['N1']
訓,N3,N1,[]
瓦,N2,N5,[]
なるべく,N2,N4,['N1']
面白い,N1,N5,['N1']
彼方,N1,N5,['N1']
知り合い,N1,N2,['N1']
間もなく,N1,N2,['N1']
傍ら,N2,N1,[]
決まる,N1,N4,['N1']
誰か,N3,N5,['N3']
素敵,N1,N3,['N1']
有る,N3,N5,"['N2', 'N3']"
つもりです,N5,N4,['N1']
お・金持ち,N4,N1,[]
下りる,N4,N5,['N4']
支度,N4,N3,[]
空く,N4,N3,[]
上る,N4,N5,"['N2', 'N3']"
下る,N4,N2,[]
掛ける,N4,N5,['N4']
成る,N3,N5,['N3']
明ける,N3,N5,['N3']
濡れる,N3,N4,['N3']
未だ,N3,N5,"['N1', 'N3']"
張る,N3,N5,['N3']
褒める,N3,N4,['N3']
打つ,N3,N4,[]
すると,N3,N4,['N3']
多分,N3,N5,['N3']
丸い,N3,N5,"['N2', 'N3']"
風呂,N3,N5,['N3']
為る,N3,N5,['N3']
真っ直ぐ,N3,N5,['N3']
大抵,N3,N4,['N3']
お腹,N3,N5,['N3']
為る,N3,N5,['N3']
吐く,N3,N1,[]
幾ら,N3,N5,['N3']
独り,N3,N5,"['N1', 'N3']"
硬い,N3,N4,"['N2', 'N3']"
辛い,N3,N5,[]
曇,N3,N5,['N3']
居る,N3,N5,[]
留める,N3,N4,['N3']
昇る,N3,N5,"['N2', 'N3']"
暖かい,N3,N5,['N3']
浴びる,N3,N5,['N3']
掛かる,N3,N5,['N3']
立派,N3,N5,['N3']
過ぎない,N3,N4,[]
於いて,N3,N1,[]
どうやら,N3,N1,[]
固い,N2,N4,"['N2', 'N3']"
焚く,N2,N4,[]
堅い,N2,N4,"['N2', 'N3']"
見付かる,N2,N4,['N2']
延びる,N2,N3,['N2']
だいいち,N2,N1,[]
具える,N2,N3,['N2']
揚げる,N2,N5,"['N2', 'N4']"
作る/造る,N2,N5,"['N1', 'N2']"
捜す,N2,N4,['N2']
分る,N2,N5,['N2']
御馳走,N2,N4,"['N1', 'N2']"
髭,N2,N4,['N2']
御中,N2,N5,['N3']
床屋,N2,N4,['N2']
向う,N2,N5,[]
只,N2,N3,['N2']
再来週,N2,N4,['N2']
一昨年,N2,N5,['N2']
叔母さん,N2,N5,['N2']
上る,N2,N5,"['N2', 'N3']"
遭う,N2,N5,['N2']
見付ける,N2,N4,['N2']
再来年,N2,N5,['N2']
量る,N2,N3,['N2']
軟らかい,N2,N4,['N2']
浸ける,N2,N4,['N2']
在る,N2,N5,"['N2', 'N3']"
治す,N2,N4,['N2']
潜る,N2,N1,[]
破れる,N2,N4,[]
着ける,N2,N5,"['N2', 'N3']"
超す,N2,N3,['N2']
再来月,N2,N4,['N2']
粗い,N2,N3,['N2']
御手洗,N2,N5,['N1']
茶碗,N2,N5,['N2']
退ける,N2,N1,[]
退く,N2,N1,[]
討つ,N2,N3,['N2']
納める,N2,N3,['N2']
退院,N2,N4,['N2']
代える,N2,N3,['N2']
跳ぶ,N2,N5,['N2']
留まる,N2,N5,['N2']
慶び,N2,N3,['N2']
?立,N2,N3,[]
各々,N2,N3,"['N1', 'N2']"
亡くす,N2,N5,['N2']
発つ,N2,N5,['N2']
明き,N2,N3,['N2']
羽根,N2,N3,['N2']
日日,N2,N1,[]
一昨日,N2,N5,['N2']
円い,N2,N5,"['N2', 'N3']"
馴れる,N2,N4,['N2']
出合い,N2,N3,[]
殖える,N2,N4,['N2']
永い,N2,N5,['N2']
出掛ける,N2,N5,['N2']
延ばす,N2,N3,['N2']
掏摸,N2,N4,['N2']
緩い,N2,N5,[]
留まる,N2,N5,['N2']
器械,N2,N3,['N2']
引出す,N2,N4,['N2']
伯母さん,N2,N5,['N2']
とうてい,N2,N1,[]
のぼる,N2,N5,"['N2', 'N3']"
よっぽど,N2,N1,[]
ろくに,N2,N1,[]
せいか,N2,N1,[]
たしか,N2,N4,[]
万一,N2,N3,[]
一方では,N2,N3,[]
かけては,N2,N5,['N4']
たまらない,N2,N3,['N1']
不味い,N1,N5,['N1']
弾く,N1,N5,[]
堪らない,N1,N3,['N1']
今晩は,N1,N2,['N1']
彼処,N1,N5,['N1']
くっ付ける,N1,N2,['N1']
稍,N1,N3,['N1']
彼此,N1,N2,['N1']
呆れる,N1,N2,['N1']
所で,N1,N3,['N1']
偶に,N1,N4,['N1']
一昨昨日,N1,N2,['N1']
代わる,N1,N2,['N1']
巨,N1,N3,[]
物置き,N1,N2,['N1']
留める,N1,N4,['N3']
愈々,N1,N2,['N1']
五月蝿い,N1,N5,['N1']
先先週,N1,N2,['N1']
此れ等,N1,N3,['N1']
其れでも,N1,N3,['N1']
倣,N1,N2,['N1']
当たり前,N1,N2,['N1']
酷い,N1,N4,['N1']
大ざっぱ,N1,N2,['N1']
吊るす,N1,N2,['N1']
この頃,N1,N4,['N1']
饂飩,N1,N2,['N1']
鼠,N1,N3,['N1']
屹度,N1,N4,['N1']
其れでは,N1,N5,['N1']
確り,N1,N4,['N1']
背負う,N1,N2,['N1']
何れ,N1,N5,"['N1', 'N3']"
乗り換え,N1,N2,['N1']
何も,N1,N3,['N1']
貴女,N1,N5,['N1']
出鱈目,N1,N2,['N1']
今日は,N1,N3,['N1']
出入り口,N1,N2,['N1']
其れ,N1,N5,"['N1', 'N3']"
艶,N1,N2,[]
彼方此方,N1,N3,"['N1', 'N2']"
曲がる,N1,N5,['N1']
爽やか,N1,N2,['N1']
何時の間にか,N1,N2,['N1']
図々しい,N1,N2,['N1']
彼方此方,N1,N3,"['N1', 'N2']"
填める,N1,N2,['N1']
ご馳走さま,N1,N2,['N1']
有難う,N1,N3,['N1']
各々,N1,N3,"['N1', 'N2']"
苛々,N1,N3,['N1']
矢っ張り,N1,N2,['N1']
押さえる,N1,N2,['N1']
茹でる,N1,N2,['N1']
美味しい,N1,N5,['N1']
受け取り,N1,N2,['N1']
如何して,N1,N5,['N1']
解く,N1,N3,[]
泌み泌み,N1,N2,['N1']
其れで,N1,N4,['N1']
中指,N1,N2,['N1']
若しも,N1,N3,['N1']
物体ない,N1,N2,['N1']
鋸,N1,N2,['N1']
大人しい,N1,N2,['N1']
その内,N1,N3,['N1']
歯磨,N1,N2,['N1']
成るべく,N1,N4,['N1']
煙草,N1,N5,['N1']
率直,N1,N2,['N1']
其れに,N1,N4,['N1']
痒い,N1,N2,['N1']
浮かぶ,N1,N2,['N1']
兎も角,N1,N2,['N1']
御免ください,N1,N2,['N1']
何時も,N1,N5,"['N1', 'N3']"
噛る,N1,N2,['N1']
お蔭様で,N1,N2,['N1']
梯子,N1,N2,['N1']
行き成り,N1,N2,['N1']
正に,N1,N3,['N1']
相変わらず,N1,N2,['N1']
突く,N1,N2,[]
萎む,N1,N2,['N1']
丸で,N1,N3,['N1']
為さる,N1,N4,['N1']
夜中,N1,N3,[]
藍褸,N1,N2,['N1']
凡そ,N1,N3,['N1']
若しかしたら,N1,N2,['N1']
汚す,N1,N2,['N1']
済まない,N1,N2,['N1']
眩しい,N1,N2,['N1']
お願いします,N1,N2,['N1']
重なる,N1,N2,[]
仰っしゃる,N1,N4,['N1']
即ち,N1,N3,['N1']
打ち合わせ,N1,N2,['N1']
久し振り,N1,N4,['N1']
詰まり,N1,N3,['N1']
出合う,N1,N3,['N1']
お出でになる,N1,N4,['N1']
集まる,N1,N4,['N1']
益々,N1,N3,['N1']
慌てる,N1,N2,['N1']
お早う,N1,N2,['N1']
何れ,N1,N5,"['N1', 'N3']"
臍,N1,N2,['N1']
炙る,N1,N2,['N1']
返る,N1,N2,['N1']
日当,N1,N2,[]
其処,N1,N5,['N1']
汚れる,N1,N4,[]
ご馳走,N1,N4,"['N1', 'N2']"
若しかすると,N1,N2,['N1']
お先に,N1,N2,['N1']
ご苦労様,N1,N2,['N1']
転転,N1,N2,['N1']
暫く,N1,N4,['N1']
恐らく,N1,N3,['N1']
不図,N1,N3,['N1']
其れ共,N1,N3,['N1']
沢山,N1,N5,['N1']
馬鹿らしい,N1,N2,['N1']
重役,N1,N2,['N1']
迚も,N1,N5,['N1']
目蓋,N1,N2,['N1']
何しろ,N1,N2,['N1']
嚏,N1,N2,['N1']
お邪魔します,N1,N2,['N1']
現われ,N1,N3,['N1']
吝嗇,N1,N3,['N1']
落ちる,N1,N4,['N1']
火傷,N1,N2,['N1']
苛める,N1,N4,['N1']
金庫,N1,N3,[]
耐える,N1,N2,['N1']
草臥れる,N1,N2,['N1']
強気,N1,N2,[]
見舞,N1,N3,['N1']
尻尾,N1,N2,['N1']
何の,N1,N5,['N1']
お巡りさん,N1,N5,['N1']
ご無沙汰,N1,N2,['N1']
坊ちゃん,N1,N2,['N1']
態と,N1,N3,['N1']
呉れ呉れも,N1,N2,['N1']
先先月,N1,N2,['N1']
お大事に,N1,N2,['N1']
切っ掛け,N1,N2,['N1']
引き受ける,N1,N2,['N1']
戴きます,N1,N3,['N1']
吃驚,N1,N3,['N1']
而も,N1,N3,['N1']
拵える,N1,N2,['N1']
書き取り,N1,N2,['N1']
其の儘,N1,N3,['N1']
可愛がる,N1,N2,['N1']
くっ付く,N1,N2,['N1']
割り算,N1,N2,['N1']
割引き,N1,N2,['N1']
消耗,N1,N2,['N1']
付き合う,N1,N2,['N1']
呉れる,N1,N4,['N1']
然して,N1,N5,"['N1', 'N3']"
可愛らしい,N1,N3,['N1']
何時か,N1,N3,['N1']
好い,N1,N5,"['N1', 'N3']"
濠,N1,N3,['N2']
当てはめる,N1,N2,['N1']
躓く,N1,N2,['N1']
揶揄う,N1,N2,['N1']
現われる,N1,N3,['N1']
脅かす,N1,N2,['N1']
屡,N1,N3,['N1']
真に,N1,N3,['N1']
木綿,N1,N4,['N1']
頻りに,N1,N3,['N1']
かも知れない,N1,N3,['N1']
或いは,N1,N3,['N1']
忽ち,N1,N2,['N1']
所謂,N1,N3,['N1']
喋る,N1,N3,['N1']
如何しても,N1,N3,['N1']
一まず,N1,N2,['N1']
些とも,N1,N4,['N1']
疾っくに,N1,N2,['N1']
加留多,N1,N2,['N1']
鋏,N1,N3,['N1']
錆び,N1,N2,['N1']
上手,N1,N5,[]
堪える,N1,N2,['N1']
発条,N1,N2,['N1']
何時,N1,N5,['N1']
造る,N1,N5,"['N1', 'N2']"
怒る,N1,N4,['N1']
殴る,N1,N2,['N1']
筈,N1,N4,['N1']
何時でも,N1,N3,['N1']
悪口,N1,N3,['N1']
喧しい,N1,N2,['N1']
一々,N1,N2,['N1']
奇麗,N1,N5,['N1']
ぶら下げる,N1,N2,['N1']
諄い,N1,N2,['N1']
御免なさい,N1,N3,['N1']
零れる,N1,N2,['N1']
此の,N1,N5,"['N1', 'N3']"
その為,N1,N2,['N1']
当てはまる,N1,N2,['N1']
然し,N1,N5,['N1']
どうぞ宜しく,N1,N2,['N1']
其処で,N1,N3,['N1']
痺れる,N1,N2,['N1']
徐々,N1,N3,[]
混む,N1,N4,['N1']
我がまま,N1,N3,['N1']
例え,N1,N3,['N1']
不山戯る,N1,N3,[]
可愛い,N1,N5,['N1']
止むを得ない,N1,N2,['N1']
お八,N1,N2,['N1']
其方,N1,N5,['N1']
軈て,N1,N3,['N1']
怒鳴る,N1,N2,['N1']
家主,N1,N2,['N1']
愛でたい,N1,N2,['N1']
僅,N1,N3,[]
酸っぱい,N1,N2,['N1']
然うして,N1,N5,"['N1', 'N2']"
此れ,N1,N5,['N1']
何方,N1,N5,['N1']
剃る,N1,N2,['N1']
位地,N1,N3,['N1']
仕舞う,N1,N3,['N1']
捕らえる,N1,N2,['N1']
堪える,N1,N2,['N1']
粗筋,N1,N2,['N1']
売れ行き,N1,N2,['N1']
下らない,N1,N2,['N1']
その外,N1,N2,['N1']
傾く,N1,N2,['N1']
年寄り,N1,N3,['N1']
お喋り,N1,N3,['N1']
所々,N1,N2,['N1']
済みません,N1,N3,['N1']
近々,N1,N2,['N1']
何とも,N1,N2,['N1']
可成,N1,N3,['N1']
凭れる,N1,N2,['N1']
通りかかる,N1,N2,['N1']
気配,N1,N2,['N1']
何処,N1,N5,['N1']
百科辞典,N1,N2,['N1']
丈夫,N1,N5,[]
明々後日,N1,N2,['N1']
兎に角,N1,N3,['N1']
詰らない,N1,N5,['N1']
寄こす,N1,N2,['N1']
真ん中,N1,N4,['N1']
何処か,N1,N3,['N1']
俄か,N1,N2,['N1']
未だ,N1,N5,"['N1', 'N3']"
段々,N1,N5,['N1']
洒落,N1,N2,[]
左様なら,N1,N2,['N1']
吃逆,N1,N2,['N1']
唸る,N1,N3,['N1']
目眩,N1,N2,['N1']
包む,N1,N4,"['N1', 'N2']"
お祖母さん,N1,N5,['N1']
惨め,N1,N2,['N1']
お洒落,N1,N2,['N1']
御手洗い,N1,N5,['N1']
零す,N1,N2,['N1']
其れ程,N1,N4,['N1']
堪える,N1,N2,['N1']
一人でに,N1,N2,['N1']
やっ付ける,N1,N2,['N1']
畏まりました,N1,N2,['N1']
百科事典,N1,N2,['N1']
お菜,N1,N2,['N1']
お蔭,N1,N4,['N1']
止まる,N1,N5,['N2']
慌ただしい,N1,N2,['N1']
絨毯,N1,N2,['N1']
一日,N1,N5,['N1']
躊躇う,N1,N2,['N1']
夜行,N1,N2,['N1']
一寸,N1,N5,['N1']
果たして,N1,N2,['N1']
その上,N1,N2,['N1']
傾,N1,N2,[]
係り,N1,N3,['N1']
何となく,N1,N2,['N1']
見っともない,N1,N2,['N1']
擦る,N1,N2,[]
七日,N1,N5,['N1']
偖,N1,N3,['N1']
恰度,N1,N5,['N1']
下品,N1,N2,[]
可笑しい,N1,N4,['N1']
お休み,N1,N2,['N1']
お目出度う,N1,N3,['N1']
引き分け,N1,N2,['N1']
溢れる,N1,N2,['N1']
騙す,N1,N2,['N1']
滅茶苦茶,N1,N2,['N1']
然も,N1,N3,['N1']
詰る,N1,N2,[]
所が,N1,N3,['N1']
下がる,N1,N4,['N1']
剥がす,N1,N2,['N1']
偏る,N1,N2,['N1']
盛る,N1,N2,[]
跨ぐ,N1,N2,['N1']
若し,N1,N4,['N1']
何方,N1,N5,['N1']
灰皿,N1,N5,['N1']
じゃん拳,N1,N2,['N1']
可哀想,N1,N3,['N1']
是非とも,N1,N2,['N1']
其れから,N1,N5,['N1']
すれ違う,N1,N2,['N1']
逆上る,N1,N2,['N1']
或る,N1,N3,['N1']
割合に,N1,N2,['N1']
三日月,N1,N2,['N1']
働,N1,N5,[]
落とす,N1,N4,['N1']
打付ける,N1,N2,['N1']
捻子,N1,N2,['N1']
何時までも,N1,N3,['N1']
始めまして,N1,N2,['N1']
箪笥,N1,N2,['N1']
凡ゆる,N1,N3,['N1']
積もり,N1,N4,['N1']
何々,N1,N2,[]
何故なら,N1,N3,['N1']
