Word,JLPT_Level,JLPT_Jisho_Level
た,,N3
て,,N5
し,,N3
さ,,N3
する,,N5
ます,,N3
こと,,N3
ある,,N5
いる,,N5
い,,N3
ページ,,N5
か,,N3
よう,,N3
ため,,N4
ください,,N5
など,,N5
なっ,,N5
う,,N1
もの,,N5
ば,,N3
まし,,N1
なる,,N5
あっ,,N4
ノート,,N5
さん,,N5
おり,,N1
また,,N5
お,,N1
より,,N5
ご,,N5
これ,,N5
テレビ,,N5
ファイル,,N1
なく,,N5
ず,,N3
せ,,N5
スタイル,,N3
あなた,,N5
とき,,N3
チーム,,N3
ガイドブック,,N1
み,,N3
だっ,,N2
き,,N5
だけ,,N1
シリーズ,,N2
行っ,,N2
ゲーム,,N3
アルバム,,N3
ドラマ,,N3
ただし,,N2
コメント,,N1
こんにちは,,N3
アメリカ,,N4
続け,,N4
システム,,N1
クラブ,,N1
よく,,N5
バス,,N5
しかし,,N5
下さい,,N5
なお,,N1
カテゴリ,,N1
しまっ,,N3
→,,N2
スポーツ,,N5
す,,N3
書き,,N2
グループ,,N3
センター,,N3
よ,,N1
×,,N2
ほか,,N5
まず,,N3
頁,,N5
スペース,,N1
すぐ,,N1
プロ,,N3
その他,,N2
ラジオ,,N5
もし,,N4
シーズン,,N2
はじめまして,,N2
いい,,N5
ガイド,,N1
ま,,N3
あれ,,N5
ニュース,,N5
ところ,,N5
メッセージ,,N1
とても,,N5
メンバー,,N3
タイトル,,N1
え,,N5
さらに,,N3
書,,N1
トレーニング,,N2
または,,N4
兼ね,,N2
みなさん,,N5
うち,,N4
経,,N5
サイズ,,N1
いう,,N5
用い,,N3
こちら,,N5
モデル,,N2
ありがとう,,N3
ご覧,,N2
知ら,,N4
ち,,N4
そして,,N5
条,,N3
テーマ,,N2
わ,,N3
それぞれ,,N3
ちゃん,,N4
かつて,,N1
アジア,,N4
じ,,N4
これら,,N3
サービス,,N3
とも,,N3
之,,N5
思わ,,N3
デザイン,,N1
ダム,,N2
こ,,N4
こう,,N4
データ,,N1
バンド,,N2
真,,N1
いく,,N5
付,,N1
アップ,,N1
ノ,,N5
ヨーロッパ,,N3
どの,,N5
士,,N1
すべて,,N3
作っ,,N5
盤,,N3
いただき,,N1
わけ,,N4
ほう,,N3
コード,,N3
やめ,,N3
エンジン,,N3
加え,,N3
いっ,,N3
あるいは,,N3
しれ,,N1
ほとんど,,N4
述べ,,N3
ひ,,N4
言わ,,N3
カード,,N3
ファン,,N1
マーク,,N1
ケース,,N3
ルール,,N1
ホーム,,N3
いずれ,,N3
ポジション,,N1
レース,,N1
く,,N3
ベスト,,N1
よい,,N5
ビル,,N4
オープン,,N1
アナウンサー,,N4
路,,N5
１,,N5
かつ,,N4
のち,,N3
テスト,,N5
ソフト,,N4
もと,,N3
ゲスト,,N1
レコード,,N5
ただ,,N3
ステージ,,N2
挙げ,,N5
カップ,,N5
よる,,N5
ごと,,N1
かけ,,N1
ミュージック,,N1
入っ,,N5
スター,,N3
チャンネル,,N1
界,,N3
ホール,,N1
スタジオ,,N1
コーナー,,N1
限り,,N1
もしくは,,N1
じゃ,,N5
くる,,N5
ジャンル,,N1
ほぼ,,N3
含め,,N2
コンピュータ,,N4
てる,,N2
メディア,,N1
ボタン,,N5
ゆ,,N4
２,,N5
ベース,,N1
砲,,N3
立,,N5
クラス,,N5
スケート,,N3
め,,N5
介,,N2
メーカー,,N1
度度,,N3
使い,,N1
コース,,N2
そのまま,,N3
もう,,N5
領,,N1
メートル,,N5
おき,,N3
ビデオ,,N3
タイプ,,N4
まだ,,N5
トップ,,N3
レギュラー,,N1
フリー,,N2
どこ,,N5
あまり,,N5
なか,,N3
ポイント,,N1
永,,N3
あと,,N3
いくつ,,N5
すでに,,N3
陽,,N4
インタビュー,,N2
インターチェンジ,,N1
ひとつ,,N5
教,,N5
華,,N5
タレント,,N1
むら,,N5
はじめ,,N5
ギター,,N5
レベル,,N2
篇,,N1
かい,,N1
果たし,,N2
タイム,,N1
くん,,N4
成,,N5
せい,,N2
健,,N3
やっ,,N5
関西,,N2
いち,,N3
頂き,,N1
かなり,,N3
どちら,,N5
トン,,N3
しん,,N1
特,,N4
いけ,,N5
京,,N3
気に入ら,,N3
セット,,N3
つき,,N3
け,,N4
ピアノ,,N4
とう,,N3
スタート,,N2
はず,,N4
たく,,N3
カラー,,N2
まとめ,,N1
ウイルス,,N1
なぜ,,N5
かん,,N3
描か,,N3
アフリカ,,N4
樹,,N5
ホテル,,N5
オンライン,,N1
豊,,N3
くれ,,N3
エネルギー,,N3
國,,N5
やすい,,N5
ブルー,,N1
いわ,,N3
取引,,N1
弘,,N5
チェック,,N4
廃,,N1
あの,,N1
レーベル,,N1
カバー,,N2
クラシック,,N3
申し上げ,,N4
とおり,,N3
出来る,,N5
すぎ,,N2
うえ,,N5
広,,N3
テニス,,N4
けど,,N4
トラック,,N3
けん,,N3
語っ,,N3
プログラム,,N2
ど,,N3
修,,N1
もっ,,N3
３,,N5
ボール,,N3
コレクション,,N2
言い,,N2
０,,N5
ダンス,,N3
いき,,N3
カー,,N3
つまり,,N3
いろいろ,,N5
カメラ,,N5
ガス,,N4
保,,N3
香,,N3
つもり,,N4
進,,N3
トンネル,,N3
あたり,,N3
久,,N4
まち,,N5
基づい,,N3
ミス,,N3
たび,,N3
きっかけ,,N2
バック,,N2
ナンバー,,N2
コピー,,N5
彩,,N1
描い,,N3
ほん,,N5
みんな,,N5
か月,,N1
見せ,,N5
進め,,N3
ビジネス,,N1
おかけ,,N2
ゆき,,N5
コンサート,,N4
うた,,N5
そこで,,N3
ジャンプ,,N1
茂,,N2
延,,N3
慶,,N4
晴,,N5
ショー,,N1
スキー,,N3
あい,,N3
翔,,N5
パン,,N5
レポート,,N4
宏,,N5
さくら,,N3
置か,,N5
りつ,,N3
応じ,,N3
くらい,,N5
だい,,N3
どうぞ,,N5
テキスト,,N4
←,,N2
ソロ,,N1
あき,,N5
忘れ,,N4
ふりがな,,N2
クイズ,,N1
嘉,,N2
のり,,N2
いただく,,N3
載せ,,N3
あん,,N3
いわゆる,,N3
マッチ,,N5
ゴール,,N3
キロ,,N5
けい,,N1
ニュー,,N1
景,,N3
ドライバー,,N1
伊,,N1
おく,,N5
とり,,N5
ちゃ,,N3
いただい,,N3
もん,,N5
そんな,,N4
アン,,N2
ソース,,N1
つく,,N5
ダイヤ,,N3
起き,,N5
ジャ,,N2
マスター,,N3
環,,N3
ちょっと,,N5
初め,,N5
受け付け,,N4
ロケット,,N3
グランド,,N3
始まっ,,N5
しばしば,,N3
かおり,,N3
祭り,,N3
ぼ,,N5
なん,,N1
しばらく,,N4
わかる,,N5
創,,N3
生じ,,N3
もっと,,N5
演じ,,N1
徹,,N4
しま,,N4
てん,,N4
あわせ,,N1
知り,,N2
あら,,N1
沙,,N4
持た,,N1
輝,,N3
倶楽部,,N1
たま,,N3
無く,,N5
限ら,,N3
まつ,,N5
希,,N2
近,,N5
子ども,,N5
とる,,N5
とら,,N3
さまざま,,N3
まる,,N3
やや,,N3
紅,,N5
かく,,N5
造,,N5
打,,N1
良く,,N5
増え,,N4
わずか,,N3
食べ,,N5
少なく,,N2
咲,,N3
やはり,,N3
バー,,N1
もちろん,,N3
すなわち,,N3
頼,,N5
プラス,,N3
ああ,,N1
常,,N3
キャンパス,,N2
たとえば,,N4
晃,,N1
みなさ,,N5
協同,,N3
岡,,N3
フィルム,,N5
ドア,,N5
記さ,,N1
５,,N5
ごろ,,N3
ころ,,N3
サン,,N5
きっと,,N4
はん,,N5
４,,N5
らん,,N2
貼り,,N1
アウト,,N3
ポケット,,N5
アマチュア,,N1
とりあえず,,N1
脚,,N5
はる,,N5
みる,,N5
わたし,,N5
おか,,N3
おい,,N3
かね,,N2
略,,N3
崇,,N1
こん,,N2
ひと,,N5
あたる,,N3
〇,,N5
キャリア,,N1
うる,,N5
パイロット,,N3
開,,N5
きん,,N3
ちょう,,N1
朗,,N2
いん,,N1
至っ,,N1
いか,,N4
スピード,,N1
かかる,,N5
悟,,N1
貴方,,N5
ブレーキ,,N3
サイン,,N3
ねん,,N1
カタカナ,,N2
しょ,,N1
せん,,N5
ひとり,,N5
祖,,N4
ポスト,,N5
したがっ,,N3
さま,,N1
いま,,N3
なれ,,N1
つける,,N5
もっとも,,N3
あらす,,N1
多かっ,,N5
眼,,N5
ピン,,N3
頂い,,N3
優れ,,N3
ヤング,,N1
失っ,,N3
タワー,,N1
スクール,,N2
笑,,N3
クリスマス,,N3
基づき,,N3
薫,,N3
もつ,,N5
きょう,,N5
それでも,,N3
たる,,N2
パート,,N4
さい,,N1
おん,,N3
にくい,,N2
ベル,,N4
みち,,N5
昇,,N5
カット,,N1
鐵,,N3
おそらく,,N3
まつり,,N3
結ん,,N5
まったく,,N3
通っ,,N4
ジャズ,,N1
洲,,N3
よみ,,N3
玄,,N5
住ん,,N3
タクシー,,N5
ぼく,,N4
インターナショナル,,N1
なんて,,N1
ダウン,,N1
ドライブ,,N3
プール,,N5
マンガ,,N4
マラソン,,N2
こんな,,N5
いし,,N3
照,,N1
ほしい,,N5
朱,,N5
あくまで,,N2
命じ,,N3
らい,,N3
かた,,N3
あらかじめ,,N1
見つけ,,N4
消え,,N5
シナリオ,,N1
いつ,,N5
替,,N4
みどり,,N5
あゆみ,,N1
起こっ,,N3
殺,,N1
やる,,N1
送っ,,N4
寧,,N3
まあ,,N3
研,,N4
シート,,N1
どうも,,N5
そちら,,N5
キロメートル,,N5
はっきり,,N4
ショップ,,N2
たけ,,N2
ガラス,,N4
リボン,,N2
やがて,,N3
乗っ,,N1
パソコン,,N4
話し,,N5
くれる,,N4
ぶ,,N1
レストラン,,N5
コンテスト,,N1
登,,N3
満たし,,N1
これから,,N4
デモ,,N3
ニコニコ,,N2
みなみ,,N5
てつ,,N3
交代,,N2
ならびに,,N1
もともと,,N2
どんな,,N3
えん,,N3
終え,,N3
がん,,N1
ダブル,,N2
オフィス,,N3
信じ,,N3
経っ,,N1
殺さ,,N3
ミルク,,N3
喜,,N4
関わっ,,N2
婦,,N3
佑,,N3
パターン,,N2
かける,,N5
ジャーナリスト,,N2
関わる,,N2
ゆく,,N5
学ん,,N2
崎,,N2
消し,,N4
フロント,,N1
コーラス,,N2
コンクール,,N2
９,,N3
亡くなっ,,N4
ごく,,N1
勢,,N3
しかしながら,,N1
ふく,,N5
トラブル,,N1
倉,,N1
唄,,N5
率い,,N1
アンケート,,N1
あらゆる,,N3
ねる,,N5
ママ,,N3
しかも,,N3
牡,,N1
異なっ,,N3
取扱,,N1
乙女,,N3
いらっしゃる,,N4
學,,N5
バン,,N3
よって,,N1
扱わ,,N3
しろ,,N5
アラブ,,N1
さて,,N3
ワイン,,N3
パス,,N3
はるか,,N1
伸,,N3
たつ,,N5
ケン,,N4
はら,,N3
キャプテン,,N3
バカ,,N3
享,,N4
ふるさと,,N3
エン,,N5
渡っ,,N5
コート,,N5
合わ,,N3
歌っ,,N5
ふつ,,N1
オレンジ,,N1
およそ,,N3
ご存知,,N4
ボーナス,,N2
コミュニケーション,,N1
ピンク,,N2
ダイヤモンド,,N2
６,,N5
航,,N3
７,,N5
れい,,N3
ふん,,N1
己,,N1
斎,,N3
ペ,,N5
扱っ,,N3
よろしい,,N3
廣,,N3
クラ,,N5
さき,,N5
始,,N5
続けれ,,N4
たくさん,,N5
くし,,N2
きちんと,,N3
みな,,N5
報じ,,N1
衛,,N3
バランス,,N2
ハー,,N3
萬,,N5
もらう,,N3
セクション,,N1
オーバー,,N3
マル,,N3
行なっ,,N4
併せ,,N3
もり,,N4
プレゼント,,N4
そば,,N2
まんが,,N4
ずっと,,N3
眞,,N3
オーケストラ,,N2
サークル,,N2
ヒト,,N5
結,,N5
マイク,,N3
ちく,,N3
短く,,N1
憲,,N3
いす,,N5
捨て,,N4
タンパク質,,N1
クリス,,N3
ふたり,,N5
ヴァイオリン,,N3
蒼,,N5
稔,,N2
貼ら,,N5
まとめる,,N2
充,,N4
伴っ,,N1
かみ,,N5
邦,,N5
スマート,,N2
表し,,N2
プラットフォーム,,N2
ペット,,N5
ペア,,N1
過ごし,,N3
リズム,,N2
めい,,N2
フェリー,,N1
ボーイ,,N3
パーティー,,N5
きよう,,N3
テーブル,,N5
レン,,N2
ついに,,N3
護,,N3
貼っ,,N5
グラフ,,N1
コーヒー,,N5
くに,,N5
うし,,N3
占め,,N3
トイレ,,N5
ライター,,N3
トラ,,N3
めぐみ,,N1
戦っ,,N3
８,,N5
めぐる,,N2
掲げ,,N1
こども,,N5
切,,N1
踏まえ,,N1
協,,N3
なみ,,N3
おう,,N3
とく,,N3
みつ,,N1
ぐらい,,N1
なに,,N5
しっかり,,N4
カテゴリー,,N1
カン,,N3
違っ,,N5
もち,,N2
タケ,,N2
マスク,,N2
渡,,N5
向,,N5
是,,N5
マンション,,N2
送ら,,N4
おかしい,,N4
える,,N3
くろ,,N5
統,,N2
出会っ,,N3
フォーク,,N5
ダメ,,N3
代わっ,,N2
コントロール,,N1
詞,,N5
夕,,N5
ともに,,N3
ボート,,N3
イエス,,N1
ちゃんと,,N3
圓,,N3
阪,,N4
杜,,N4
ストップ,,N2
カレー,,N5
奪わ,,N3
レンズ,,N2
タイヤ,,N1
うい,,N1
ヘリコプター,,N2
ベルト,,N3
篤,,N5
ばん,,N5
めん,,N3
ふう,,N1
ベン,,N3
オートバイ,,N4
ほお,,N3
がっ,,N5
いろ,,N5
すき,,N5
萌,,N1
ねこ,,N5
キャッチ,,N1
ネコ,,N5
ひかり,,N4
あす,,N5
継,,N2
そら,,N5
くち,,N5
ゆめ,,N4
ビール,,N3
ブーム,,N1
徐,,N1
参,,N5
キン,,N2
満たさ,,N1
しき,,N3
仕え,,N1
フリ,,N1
邸,,N1
ランプ,,N1
珠,,N3
勉,,N5
ようやく,,N2
ところが,,N3
響,,N2
ファイト,,N1
手がけ,,N1
奪,,N3
つくら,,N5
遥,,N1
澄,,N2
たとえ,,N3
マーケット,,N3
処,,N5
コマーシャル,,N1
りょう,,N3
マスコミ,,N1
プラン,,N3
きみ,,N4
こい,,N3
休,,N5
取れ,,N3
ふし,,N3
克,,N5
モーター,,N2
嶺,,N1
捉え,,N2
慎,,N3
庫,,N1
